Title,Category,Release date,Ratings,Metascore,Page URL
Tasting Menu,movie,"APR 18, 2014",PG-13,29,https://www.metacritic.com/movie/tasting-menu/
Burning Blue,movie,"JUN 6, 2014",R,29,https://www.metacritic.com/movie/burning-blue/
Red Riding Hood,movie,"MAR 11, 2011",PG-13,29,https://www.metacritic.com/movie/red-riding-hood/
Rock the Kasbah,movie,"OCT 23, 2015",R,29,https://www.metacritic.com/movie/rock-the-kasbah/
Bright,movie,"DEC 22, 2017",TV-MA,29,https://www.metacritic.com/movie/bright/
Hector and the Search for Happiness,movie,"SEP 19, 2014",R,29,https://www.metacritic.com/movie/hector-and-the-search-for-happiness/
Force of Nature,movie,"JUN 30, 2020",R,29,https://www.metacritic.com/movie/force-of-nature/
Just My Luck,movie,"MAY 12, 2006",PG-13,29,https://www.metacritic.com/movie/just-my-luck/
The King and I,movie,"MAR 19, 1999",G,29,https://www.metacritic.com/movie/the-king-and-i/
 Snow Dogs,movie,"JAN 18, 2002",PG,29,https://www.metacritic.com/movie/snow-dogs/
The Postman,movie,"DEC 25, 1997",R,29,https://www.metacritic.com/movie/the-postman/
Poolman,movie,"MAY 10, 2024",R,29,https://www.metacritic.com/movie/poolman/
Shirin in Love,movie,"MAR 14, 2014",TV-14,29,https://www.metacritic.com/movie/shirin-in-love/
Pulse,movie,"AUG 11, 2006",PG-13,29,https://www.metacritic.com/movie/pulse/
Old Fashioned,movie,"FEB 13, 2015",PG-13,29,https://www.metacritic.com/movie/old-fashioned/
The Best of Me,movie,"OCT 17, 2014",PG-13,29,https://www.metacritic.com/movie/the-best-of-me/
Batman & Robin,movie,"JUN 20, 1997",PG-13,29,https://www.metacritic.com/movie/batman-robin/
The Slugger's Wife,movie,"MAR 29, 1985",PG-13,29,https://www.metacritic.com/movie/the-sluggers-wife/
Blue Moon,movie,"NOV 3, 2000",PG-13,29,https://www.metacritic.com/movie/blue-moon/
